Address,Unnamed: 0,Area,Beds,Full Baths,FullBaths,Half Baths,HalfBaths,Locality,Lot Size,Price,Coodinates,Latitude,Longitude
"0 Gateway, Rock Springs, WY 82901",2,,,,,,,"Rock Springs, WY 82901",,"$725,000","Gateway Boulevard, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.5918423,-109.2436744
"0 Hwy 41, Rocksprings, TX 78880",206,,,,,,,"Rocksprings, TX 78880",,"$1,080,000",,,
"0000 Black Canyon Highway, Black Canyon City, AZ 85324",259,,,,,,,"Black Canyon City, AZ 85324",5 Acres,"$150,000",,,
"1003 Winchester Blvd., Rock Springs, WY 82901",27,,4.0,,4.0,,,"Rock Springs, WY 82901",0.21 Acres,"$452,900",,,
"1021 Cypress Cir, Rock Springs, WY 82901",126,"1,676",4.0,,3.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$210,000","1021, Cypress Circle, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.623944992899,-109.225894392523
"1302 Veteran's Drive, Rock Springs, WY 82901",97,"1,932",4.0,,2.0,,,"Rock Springs, WY 82901",0.27 Acres,"$252,900",,,
"1344 Teton Street, Rock Springs, WY 82901",169,"1,920",3.0,,2.0,,,"Rock Springs, WY 82901","Under 1/2 Acre, ","$199,900","1344, Teton Street, Rock Springs, Sweetwater County, Wyoming, 82901, United States of America",41.5712333096264,-109.217351764087
"18688 E AGUA Vista, Black Canyon City, AZ 85324",325,,,,,,,"Black Canyon City, AZ 85324",0.7 Acres,"$70,000",,,
"19000 E MAREN Avenue, Black Canyon City, AZ 85324",369,,,,,,,"Black Canyon City, AZ 85324",2.05 Acres,"$29,000","Maren Avenue, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.09035,-112.1514349
"19260 E Scenic Loop Road, Black Canyon City, AZ 85324",364,,,,,,,"Black Canyon City, AZ 85324",2.35 Acres,"$30,000",,,
"19350 E SAGUARO Drive, Black Canyon City, AZ 85324",373,,,,,,,"Black Canyon City, AZ 85324",0.73 Acres,"$28,995",,,
"19421 E Todd Evans Road, Black Canyon City, AZ 85324",320,"1,404",3.0,,2.0,,,"Black Canyon City, AZ 85324",,"$70,500","19421, Todd Evans Road, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.070262,-112.144043949548
"20101 E SQUAW VALLEY Road, Black Canyon City, AZ 85324",336,,,,,,,"Black Canyon City, AZ 85324",,"$54,900","East Squaw Valley Road, Black Canyon City, Yavapai County, Arizona, 85324, United States of America",34.077605,-112.1241279
"20650 E Amethyst Place, Black Canyon City, AZ 85324",377,,,,,,,"Black Canyon City, AZ 85324",0.31 Acres,"$15,000",,,
